date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:32:16	48024/48024	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20Jul%202021%2007:04:06%20GMT	https://templates.envytheme.com/roose/default/index-3.html	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/index-3.html	(from )
21:32:17	116/116	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Aug%202023%2018:32:18%20GMT	https://templates.envytheme.com/robots.txt		(from )
21:32:18	153065/153065	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe968-255e9%22	https://templates.envytheme.com/roose/default/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:18	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe969-3f5%22	https://templates.envytheme.com/roose/default/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/owl.theme.default.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:18	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe969-d17%22	https://templates.envytheme.com/roose/default/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:18	110552/110552	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe969-1afd8%22	https://templates.envytheme.com/roose/default/assets/css/remixicon.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/remixicon.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:19	1388/1388	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe969-56c%22	https://templates.envytheme.com/roose/default/assets/css/flaticon.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/flaticon.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:20	2612/2612	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe969-a34%22	https://templates.envytheme.com/roose/default/assets/css/meanmenu.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/meanmenu.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:20	60563/60563	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe968-ec93%22	https://templates.envytheme.com/roose/default/assets/css/animate.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/animate.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
21:32:21	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%2260ebe969-c2c%22	https://templates.envytheme.com/roose/default/assets/css/odometer.min.css	C:/My%20Web%20Sites/a4/templates.envytheme.com/roose/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/roose/default/index-3.html)
